,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
16,Industrial,45072,27375558,13,3,12,69,5,Moderate,No,1,9,Mumbai,2,18,Time and materials,High,919
17,Educational,35686,24246458,66,9,26,75,3,Moderate,No,1,8,Kolkata,5,9,Time and materials,Medium,874
18,Infrastructure,29886,16770482,78,8,29,66,1,Moderate,Yes,2,0,Kolkata,5,3,Fixed price,Low,694
19,Residential,28021,39108604,16,7,36,82,2,Adverse,No,3,3,Hyderabad,3,20,Time and materials,Low,305
20,Residential,39668,45083193,5,2,47,80,1,Favorable,Yes,3,4,Banglore,7,20,Time and materials,Low,177
21,Residential,38940,7056660,98,1,37,67,2,Favorable,No,4,6,Delhi,1,16,Fixed price,High,781
22,Industrial,34448,77629236,40,8,41,59,4,Adverse,No,1,10,Pune,9,3,Time and materials,High,381
23,Commercial,25079,61193659,18,4,45,71,3,Favorable,No,1,10,Banglore,8,18,Time and materials,High,598
24,Residential,7709,48622479,45,9,35,49,3,Favorable,Yes,3,8,Hyderabad,9,15,Fixed price,Medium,532
25,Commercial,29764,19996028,76,8,17,58,3,Favorable,Yes,3,3,Mumbai,8,16,Fixed price,High,367
26,Educational,37513,74642398,54,4,27,57,0,Favorable,Yes,3,1,Pune,9,13,Time and materials,Low,613
27,Commercial,32908,7785815,50,8,8,32,5,Adverse,Yes,2,1,Chennai,1,6,Fixed price,Low,389
28,Industrial,8277,6932824,100,5,17,49,2,Adverse,Yes,3,0,Chennai,7,8,Time and materials,High,560
29,Industrial,20545,10833243,46,6,35,6,3,Favorable,Yes,1,0,Chennai,9,8,Fixed price,Low,247
30,Educational,37366,12646710,58,7,36,83,1,Adverse,No,3,8,Delhi,5,8,Time and materials,Medium,936
31,Infrastructure,1104,61396096,46,8,14,61,3,Moderate,No,5,1,Chennai,5,6,Fixed price,Medium,753
32,Industrial,46693,18489578,71,10,15,26,2,Moderate,No,4,3,Kolkata,3,1,Fixed price,Medium,692
33,Commercial,24025,4423319,94,1,41,31,3,Favorable,Yes,3,7,Delhi,8,20,Time and materials,Low,530
34,Industrial,15128,59989246,58,8,45,24,4,Favorable,No,5,5,Delhi,3,18,Fixed price,Low,394
35,Residential,18575,50519527,70,8,17,18,2,Adverse,No,1,6,Kolkata,8,4,Fixed price,High,511
36,Educational,9456,6513840,61,5,33,31,1,Moderate,Yes,4,10,Chennai,10,19,Time and materials,Low,770
37,Residential,30363,64608694,85,8,49,94,2,Adverse,No,4,0,Hyderabad,9,15,Time and materials,High,169
38,Residential,27475,63464290,18,8,7,94,0,Favorable,No,1,6,Pune,1,10,Time and materials,High,229
39,Commercial,21740,51888446,44,6,24,96,4,Favorable,Yes,3,6,Mumbai,1,15,Time and materials,Low,400
40,Commercial,12023,49311130,73,9,20,37,1,Favorable,No,3,8,Delhi,2,3,Time and materials,Medium,745
41,Educational,7022,7824161,64,5,36,89,5,Adverse,Yes,5,5,Chennai,1,17,Time and materials,Medium,191
42,Residential,34149,12707217,98,2,11,91,4,Moderate,Yes,3,8,Chennai,2,9,Fixed price,Low,204
43,Educational,34053,9120289,57,5,26,86,2,Adverse,Yes,5,7,Pune,1,17,Fixed price,High,232
44,Residential,19667,63482301,51,5,41,57,5,Adverse,No,4,9,Pune,10,17,Fixed price,High,664
45,Infrastructure,42211,79102403,87,1,27,1,4,Adverse,No,1,0,Mumbai,10,13,Fixed price,Low,283
46,Educational,49986,10271333,95,10,48,16,4,Adverse,No,2,9,Banglore,7,16,Fixed price,Medium,781
47,Residential,5639,35967801,44,10,11,56,2,Moderate,No,4,10,Delhi,1,1,Time and materials,Low,458
48,Educational,41586,51439001,92,4,49,44,3,Favorable,No,5,10,Delhi,3,15,Fixed price,High,254
49,Infrastructure,14499,71120542,69,1,15,17,5,Favorable,No,1,2,Kolkata,8,9,Time and materials,High,155
50,Industrial,10919,7198092,22,9,44,81,4,Moderate,Yes,4,0,Chennai,4,15,Fixed price,Low,903
51,Infrastructure,35915,77606328,11,7,33,76,1,Adverse,Yes,4,7,Pune,2,20,Fixed price,Medium,559
52,Educational,20035,26774472,94,10,49,23,3,Adverse,No,2,3,Pune,5,1,Time and materials,Low,238
53,Industrial,24226,11464541,78,7,20,64,5,Moderate,No,4,0,Banglore,2,8,Fixed price,High,833
54,Educational,16829,67152727,59,8,11,68,2,Adverse,Yes,1,2,Banglore,1,7,Fixed price,High,352
55,Infrastructure,13682,77218801,52,3,32,91,4,Adverse,Yes,2,5,Mumbai,10,4,Fixed price,High,431
56,Residential,42269,66459345,8,6,35,4,2,Favorable,No,5,9,Hyderabad,8,4,Time and materials,High,733
57,Infrastructure,38588,68332821,41,2,7,43,0,Adverse,No,1,9,Chennai,4,3,Time and materials,Medium,569
58,Infrastructure,17339,27199764,11,2,48,27,0,Moderate,No,2,10,Hyderabad,7,15,Time and materials,Low,360
59,Industrial,32616,15349605,77,8,33,6,1,Adverse,Yes,5,6,Kolkata,6,19,Fixed price,Medium,626
60,Commercial,31205,41761201,69,10,42,57,1,Adverse,No,5,4,Chennai,5,9,Time and materials,High,608
61,Commercial,7157,5387447,26,8,25,55,4,Adverse,No,4,0,Pune,4,5,Fixed price,High,839
62,Educational,25436,61028240,64,6,27,69,1,Favorable,Yes,4,4,Delhi,9,14,Fixed price,Low,746
63,Infrastructure,16593,76573725,69,5,18,49,5,Moderate,Yes,3,10,Banglore,5,6,Time and materials,Medium,142
64,Infrastructure,1475,61263130,67,6,26,20,5,Moderate,No,5,5,Mumbai,7,11,Fixed price,Medium,489
65,Infrastructure,26079,29414287,27,1,20,53,0,Favorable,Yes,4,5,Delhi,4,10,Time and materials,High,521
66,Industrial,47940,25605998,94,8,18,55,2,Favorable,No,5,9,Chennai,9,3,Fixed price,High,210
67,Industrial,47980,81328048,48,5,10,31,2,Adverse,Yes,4,8,Kolkata,4,16,Fixed price,Low,804
68,Residential,37891,37638176,7,7,16,11,2,Adverse,Yes,3,3,Kolkata,6,9,Fixed price,Medium,475
69,Industrial,30826,54938198,77,1,9,19,5,Moderate,Yes,5,6,Hyderabad,2,2,Time and materials,High,185
70,Infrastructure,7534,20503241,6,4,17,64,4,Adverse,No,1,1,Hyderabad,9,16,Fixed price,Low,304
71,Infrastructure,49568,39266719,14,1,7,32,4,Favorable,Yes,3,4,Pune,1,17,Time and materials,High,125
72,Commercial,30714,62024406,67,8,45,54,4,Adverse,No,3,7,Kolkata,10,7,Fixed price,High,681
73,Residential,3079,21178280,29,2,22,76,1,Moderate,Yes,3,2,Hyderabad,4,20,Fixed price,High,559
74,Educational,45791,17736021,93,3,31,97,2,Moderate,Yes,1,8,Chennai,8,7,Fixed price,Low,898
75,Industrial,3276,74495986,62,2,45,83,5,Moderate,No,4,4,Delhi,10,18,Fixed price,Low,513
76,Infrastructure,9826,9551142,94,10,15,1,1,Adverse,No,5,3,Chennai,3,13,Time and materials,High,902
77,Industrial,49792,65086525,84,7,15,80,4,Moderate,No,4,2,Mumbai,6,17,Fixed price,High,640
78,Industrial,34735,55582776,73,4,16,22,2,Moderate,Yes,4,6,Delhi,7,16,Time and materials,Medium,797
79,Residential,34890,26155873,34,1,17,36,0,Adverse,No,3,2,Banglore,3,13,Fixed price,Low,385
80,Educational,48756,20217306,52,5,38,19,2,Favorable,No,2,5,Pune,1,13,Time and materials,High,766
81,Residential,20840,49297684,94,2,28,49,5,Favorable,No,4,3,Banglore,7,17,Fixed price,High,326
82,Commercial,32883,57141184,83,1,36,65,3,Moderate,No,3,3,Kolkata,1,1,Fixed price,Low,147
83,Commercial,18000,79763830,7,4,8,76,1,Favorable,Yes,2,1,Delhi,7,10,Fixed price,Medium,831
84,Residential,47009,17945928,15,9,20,42,0,Adverse,Yes,2,8,Delhi,2,10,Fixed price,Low,263
85,Industrial,18671,53516076,89,8,37,33,2,Favorable,Yes,1,9,Banglore,4,19,Fixed price,Low,913
86,Industrial,29647,13228208,87,2,13,22,5,Moderate,No,4,8,Kolkata,1,12,Time and materials,Low,458
87,Industrial,24726,48005291,15,8,26,72,1,Adverse,Yes,5,0,Delhi,2,2,Time and materials,Medium,790
88,Educational,8699,81935608,92,1,19,42,0,Favorable,No,1,5,Mumbai,10,18,Fixed price,Medium,242
89,Infrastructure,34672,77032549,17,6,38,63,5,Moderate,No,3,5,Banglore,4,4,Time and materials,High,720
90,Industrial,41967,36329017,46,1,21,69,2,Moderate,Yes,5,2,Delhi,8,17,Time and materials,Low,755
91,Commercial,49943,26232316,46,6,48,81,4,Favorable,No,4,9,Pune,3,12,Time and materials,Medium,849
92,Educational,14167,58863268,24,7,47,69,4,Favorable,No,3,5,Delhi,1,15,Fixed price,High,751
93,Residential,17411,23246972,42,6,50,14,1,Favorable,Yes,4,6,Pune,10,13,Time and materials,Low,246
94,Infrastructure,5616,36367363,69,5,24,37,5,Favorable,Yes,3,2,Delhi,4,17,Fixed price,High,635
95,Industrial,25064,28861009,21,6,21,86,1,Moderate,Yes,1,5,Pune,7,6,Time and materials,Low,161
96,Educational,45473,58596423,98,1,47,69,2,Moderate,Yes,2,2,Pune,7,11,Time and materials,Low,703
97,Commercial,34989,76788944,36,10,31,1,0,Moderate,Yes,1,9,Hyderabad,10,9,Time and materials,High,496
98,Industrial,40960,34096649,39,9,44,84,2,Favorable,No,2,4,Banglore,7,12,Fixed price,High,692
99,Educational,7298,13939767,8,2,20,79,0,Moderate,No,5,4,Hyderabad,4,13,Time and materials,Medium,870
100,Infrastructure,13987,16850992,42,8,8,99,5,Favorable,Yes,4,6,Mumbai,4,19,Fixed price,Medium,922
101,Residential,790,60098972,55,10,35,25,3,Favorable,No,1,8,Pune,8,3,Time and materials,High,326
102,Industrial,49881,53556165,62,9,20,69,3,Favorable,No,4,4,Delhi,4,18,Fixed price,Low,150
103,Residential,32494,74723240,21,3,7,60,4,Moderate,No,2,2,Hyderabad,8,12,Time and materials,Low,885
104,Infrastructure,39112,72510377,42,8,35,98,0,Favorable,No,3,0,Kolkata,3,10,Time and materials,Low,997
105,Infrastructure,3970,38086044,100,6,47,13,4,Adverse,Yes,4,6,Pune,4,2,Fixed price,Low,418
106,Industrial,33358,14558034,95,10,9,9,4,Adverse,Yes,5,10,Kolkata,2,2,Time and materials,High,261
107,Educational,13293,23462440,59,3,50,4,4,Adverse,Yes,2,1,Hyderabad,3,18,Time and materials,Low,967
108,Educational,7901,72886782,88,7,21,74,5,Moderate,Yes,3,8,Delhi,7,4,Fixed price,Medium,787
109,Industrial,27160,33248887,81,4,24,53,2,Adverse,No,4,2,Hyderabad,1,15,Fixed price,Low,761
110,Educational,7579,12742492,68,8,8,73,5,Adverse,No,4,1,Chennai,2,7,Time and materials,High,117
111,Commercial,48210,57923708,55,5,14,100,0,Adverse,Yes,5,5,Banglore,2,6,Time and materials,Medium,160
112,Industrial,33213,72041759,70,4,30,54,4,Moderate,No,3,0,Chennai,2,2,Time and materials,Low,155
113,Commercial,31708,44463515,50,7,20,48,2,Moderate,No,2,7,Mumbai,10,5,Time and materials,Low,479
114,Industrial,27234,43565787,74,9,46,77,5,Adverse,Yes,4,2,Kolkata,7,13,Time and materials,Medium,555
115,Educational,26824,4959250,35,5,27,27,3,Favorable,Yes,5,5,Pune,8,11,Fixed price,High,992
116,Educational,23581,19035054,92,10,42,67,2,Adverse,Yes,1,9,Hyderabad,8,19,Time and materials,Low,964
117,Infrastructure,19318,30966055,95,10,20,22,1,Moderate,Yes,4,0,Delhi,10,18,Time and materials,High,249
118,Residential,18704,18826475,71,6,27,54,3,Favorable,Yes,4,4,Mumbai,4,18,Time and materials,Medium,740
119,Infrastructure,41156,49302747,50,7,43,82,1,Adverse,Yes,1,1,Mumbai,9,8,Time and materials,High,705
120,Commercial,20778,38568523,74,4,8,82,1,Favorable,Yes,5,8,Chennai,3,9,Fixed price,High,489
121,Infrastructure,27360,79664396,73,4,34,39,5,Favorable,Yes,4,10,Banglore,7,20,Time and materials,High,228
122,Commercial,1002,47420473,74,7,21,44,5,Favorable,No,4,7,Hyderabad,2,6,Time and materials,Medium,133
123,Infrastructure,8508,82774904,51,1,45,98,0,Moderate,No,4,7,Kolkata,8,1,Time and materials,High,943
124,Residential,1668,58828657,14,6,49,33,0,Adverse,Yes,3,6,Chennai,9,13,Fixed price,Low,612
125,Industrial,38433,40553468,81,7,18,84,3,Moderate,No,3,8,Banglore,4,2,Fixed price,High,246
126,Residential,20255,57060840,86,1,8,55,3,Adverse,No,2,10,Banglore,7,4,Time and materials,High,626
127,Industrial,17579,48997971,10,3,30,5,2,Moderate,No,3,2,Kolkata,7,7,Fixed price,Medium,461
128,Residential,44333,14256827,78,2,13,23,2,Favorable,No,1,10,Pune,8,15,Time and materials,High,160
129,Commercial,16367,34565018,42,1,30,19,5,Favorable,No,4,0,Delhi,1,4,Fixed price,Low,725
130,Residential,32354,20745352,39,6,36,11,5,Favorable,Yes,2,1,Mumbai,10,15,Time and materials,Medium,295
131,Commercial,1251,57735547,18,8,10,16,2,Favorable,No,1,0,Banglore,4,12,Time and materials,Low,531
132,Educational,25909,23874120,25,4,36,24,5,Adverse,No,5,5,Chennai,10,14,Time and materials,High,333
133,Industrial,45008,20669822,86,4,13,1,4,Favorable,No,1,1,Pune,5,20,Time and materials,High,872
134,Industrial,5771,15484148,75,6,26,68,5,Moderate,No,5,3,Kolkata,4,6,Time and materials,Low,870
135,Residential,36812,43548357,18,9,38,14,3,Moderate,Yes,5,8,Mumbai,10,12,Time and materials,Low,292
136,Commercial,9016,13257756,67,6,47,39,4,Adverse,No,4,2,Delhi,7,9,Fixed price,Medium,614
137,Residential,34849,25801961,82,9,47,28,5,Adverse,No,1,6,Mumbai,6,17,Time and materials,Medium,224
138,Infrastructure,11456,28244651,74,3,40,40,3,Favorable,Yes,3,5,Pune,1,18,Fixed price,Medium,560
139,Commercial,45641,18411973,56,7,12,38,5,Moderate,No,4,5,Hyderabad,6,12,Fixed price,Medium,401
140,Residential,42552,27535748,50,10,49,32,1,Favorable,Yes,5,5,Kolkata,3,20,Fixed price,High,881
141,Industrial,3810,67929773,83,10,12,52,3,Favorable,Yes,2,3,Kolkata,8,7,Time and materials,High,641
142,Residential,36976,61450046,68,5,33,94,2,Adverse,No,2,1,Chennai,6,19,Fixed price,High,846
143,Educational,9380,30217727,54,5,10,31,0,Favorable,No,4,8,Delhi,3,18,Time and materials,Low,571
144,Commercial,43695,80005360,62,8,11,8,4,Favorable,Yes,2,5,Delhi,9,9,Fixed price,Medium,515
145,Residential,42468,31829172,84,8,49,48,0,Favorable,Yes,4,10,Banglore,8,18,Fixed price,Low,166
146,Residential,28277,4188678,5,6,26,78,1,Favorable,Yes,1,0,Chennai,8,14,Time and materials,Medium,641
147,Residential,14083,78725417,19,4,42,69,0,Favorable,No,4,0,Hyderabad,10,19,Time and materials,High,609
148,Educational,25322,44222151,48,1,20,99,1,Moderate,No,2,8,Banglore,10,20,Time and materials,Low,759
149,Residential,42161,19722792,76,8,43,19,2,Adverse,Yes,2,5,Mumbai,6,18,Fixed price,High,623
150,Educational,11473,70639640,51,10,26,87,4,Adverse,Yes,5,7,Delhi,6,11,Time and materials,Medium,681
151,Educational,25653,40243214,100,2,31,40,4,Adverse,No,2,0,Chennai,7,10,Time and materials,High,918
152,Industrial,17305,65394040,36,2,7,43,3,Favorable,No,4,9,Hyderabad,8,10,Time and materials,High,305
153,Infrastructure,3179,69567114,67,3,25,18,5,Favorable,Yes,5,0,Delhi,10,8,Fixed price,Medium,224
154,Educational,7518,28194270,21,9,27,19,0,Favorable,Yes,5,3,Delhi,7,10,Time and materials,Medium,154
155,Commercial,38986,15229172,32,7,48,57,0,Favorable,No,1,6,Kolkata,10,1,Fixed price,Medium,153
156,Residential,18564,25492288,87,7,24,64,3,Moderate,Yes,3,7,Banglore,8,1,Time and materials,High,526
157,Infrastructure,17090,79095431,48,5,7,95,3,Moderate,No,2,8,Chennai,10,17,Time and materials,Medium,687
158,Industrial,14233,49489746,84,2,21,51,0,Adverse,No,3,4,Banglore,9,2,Fixed price,High,996
159,Commercial,30202,35710750,31,8,28,78,3,Adverse,No,4,0,Delhi,8,20,Time and materials,Low,891
160,Commercial,6576,18830459,100,2,37,56,4,Moderate,No,4,0,Chennai,10,11,Fixed price,High,193
161,Infrastructure,7841,47060917,39,1,18,65,1,Favorable,Yes,2,5,Delhi,6,14,Fixed price,Low,350
162,Infrastructure,28171,26317225,45,7,50,20,4,Favorable,No,3,1,Chennai,5,6,Fixed price,High,346
163,Residential,23092,79506032,10,2,27,63,2,Moderate,Yes,3,8,Banglore,9,1,Fixed price,High,261
164,Infrastructure,23299,35456438,12,1,23,36,2,Moderate,Yes,3,6,Banglore,5,14,Time and materials,Medium,651
165,Infrastructure,45874,56251839,64,8,29,88,3,Favorable,No,1,1,Chennai,2,14,Fixed price,Medium,174
166,Commercial,28849,37964117,43,3,49,51,5,Favorable,No,5,10,Banglore,7,12,Time and materials,Low,293
167,Infrastructure,34306,63517493,72,5,31,9,4,Adverse,No,1,7,Banglore,3,16,Time and materials,Low,760
168,Commercial,10109,24181469,55,9,43,45,1,Moderate,No,3,8,Banglore,10,1,Time and materials,Low,695
169,Commercial,4119,28607195,79,8,34,83,0,Adverse,Yes,1,9,Mumbai,8,16,Fixed price,High,790
170,Commercial,8223,28310138,33,8,30,18,3,Adverse,No,4,7,Pune,1,18,Time and materials,Medium,462
171,Infrastructure,6838,81769525,90,2,21,0,2,Adverse,Yes,4,5,Chennai,6,10,Time and materials,Low,601
172,Educational,41557,71085682,27,3,32,39,1,Favorable,Yes,2,10,Hyderabad,5,16,Time and materials,Low,476
173,Educational,22909,39665285,53,6,9,61,3,Adverse,Yes,2,5,Chennai,2,18,Fixed price,Low,470
174,Infrastructure,41811,68987193,72,4,7,53,0,Favorable,Yes,4,2,Hyderabad,9,19,Fixed price,High,401
175,Industrial,5708,23248632,66,4,43,21,1,Moderate,No,5,1,Banglore,6,12,Time and materials,High,942
176,Commercial,35810,56875501,85,9,6,25,2,Moderate,No,4,0,Delhi,7,12,Time and materials,High,451
177,Industrial,22858,76334519,67,1,38,77,1,Favorable,No,5,10,Mumbai,5,5,Time and materials,Low,497
178,Infrastructure,12890,25253995,72,3,36,25,5,Favorable,No,5,0,Kolkata,10,18,Fixed price,High,616
179,Residential,22368,23037397,72,3,11,17,4,Adverse,No,2,0,Delhi,6,5,Fixed price,High,702
180,Residential,17524,39320171,90,4,37,18,5,Moderate,Yes,4,4,Banglore,9,13,Time and materials,High,565
181,Commercial,38892,7970822,17,9,5,91,3,Favorable,No,3,10,Kolkata,5,14,Fixed price,Low,409
182,Commercial,792,49981521,48,8,13,5,3,Favorable,No,5,6,Banglore,10,7,Time and materials,High,540
183,Industrial,34450,57497171,27,9,26,1,3,Moderate,Yes,2,4,Banglore,9,9,Fixed price,Medium,218
184,Educational,19102,67524650,86,2,31,71,0,Favorable,Yes,4,3,Pune,10,17,Time and materials,Medium,709
185,Industrial,47010,65840497,22,2,35,98,2,Adverse,No,4,0,Banglore,6,13,Fixed price,Low,842
186,Industrial,26862,34464837,88,3,38,36,3,Favorable,No,1,9,Delhi,10,20,Time and materials,Low,130
187,Industrial,15873,37086807,42,7,18,44,0,Adverse,Yes,5,0,Kolkata,10,12,Time and materials,High,861
188,Commercial,40864,4397755,43,4,9,26,0,Adverse,Yes,3,10,Kolkata,1,9,Time and materials,High,949
189,Educational,17689,46720783,12,10,5,21,4,Favorable,Yes,3,5,Kolkata,7,14,Fixed price,Low,817
190,Commercial,7777,49881672,87,6,16,95,3,Moderate,No,2,0,Delhi,6,11,Fixed price,High,491
191,Residential,19406,23990237,78,10,24,71,5,Adverse,No,2,6,Delhi,2,10,Fixed price,Medium,123
192,Commercial,1267,16159187,42,9,50,67,2,Favorable,Yes,1,6,Delhi,5,19,Fixed price,High,761
193,Residential,46926,16126568,48,6,23,82,4,Favorable,No,3,3,Banglore,1,9,Fixed price,High,783
194,Educational,21874,27416311,80,8,12,14,2,Moderate,Yes,5,2,Pune,8,7,Fixed price,High,241
195,Infrastructure,32680,41753233,99,6,16,52,0,Moderate,No,4,8,Chennai,8,5,Time and materials,Low,111
196,Infrastructure,4554,26347520,21,5,27,75,4,Moderate,Yes,5,5,Chennai,9,18,Time and materials,Low,626
197,Commercial,43932,75028929,34,9,26,87,2,Moderate,Yes,4,2,Delhi,8,12,Time and materials,Medium,256
198,Educational,37999,20512122,33,10,33,56,4,Favorable,No,5,6,Banglore,5,7,Time and materials,High,419
199,Commercial,18550,38545117,15,8,29,66,3,Favorable,No,3,7,Banglore,8,9,Time and materials,Medium,669
200,Commercial,49337,52459486,79,2,48,49,3,Moderate,Yes,5,1,Chennai,10,10,Time and materials,Low,398
201,Educational,10574,19302978,76,6,24,93,2,Favorable,Yes,2,1,Chennai,8,17,Fixed price,Medium,282
202,Commercial,44880,82596122,44,3,50,67,3,Favorable,No,4,1,Hyderabad,9,8,Fixed price,High,924
203,Residential,8023,47445622,46,5,32,63,3,Moderate,Yes,5,3,Banglore,4,9,Fixed price,Low,746
204,Educational,19747,63715282,81,10,14,38,4,Adverse,Yes,1,1,Mumbai,4,7,Time and materials,Medium,1000
205,Residential,41391,28344749,32,8,13,15,3,Adverse,Yes,5,9,Hyderabad,9,8,Time and materials,Low,706
206,Infrastructure,27393,80580633,53,5,21,76,5,Favorable,No,2,9,Delhi,2,18,Fixed price,High,792
207,Commercial,17767,31014029,97,10,13,4,3,Favorable,Yes,1,2,Hyderabad,1,1,Time and materials,Medium,878
208,Residential,33651,23924252,81,6,6,23,2,Adverse,No,4,7,Kolkata,6,4,Fixed price,High,761
209,Industrial,11048,57294070,29,10,11,50,5,Favorable,No,1,8,Hyderabad,7,14,Fixed price,Medium,874
210,Infrastructure,22643,66586501,82,1,28,12,0,Moderate,No,3,7,Pune,1,8,Fixed price,Medium,694
211,Educational,4704,59139326,81,4,34,46,1,Moderate,No,3,10,Hyderabad,8,4,Fixed price,Medium,924
212,Residential,40615,56815326,9,8,6,54,5,Moderate,No,3,2,Delhi,10,4,Time and materials,Medium,360
213,Infrastructure,17428,65191686,44,10,6,32,3,Moderate,Yes,2,5,Kolkata,6,10,Fixed price,Low,314
214,Residential,45646,40938505,53,2,50,42,4,Moderate,Yes,1,10,Pune,5,5,Fixed price,Low,806
215,Infrastructure,31910,22413320,87,3,41,5,2,Adverse,Yes,4,8,Banglore,3,17,Fixed price,High,809
216,Infrastructure,48119,13238666,35,4,38,19,2,Adverse,Yes,5,1,Mumbai,7,19,Time and materials,Medium,639
217,Infrastructure,11678,79137014,95,10,27,76,1,Moderate,Yes,1,5,Pune,8,15,Time and materials,Low,604
218,Industrial,34455,48228063,68,5,7,80,1,Moderate,No,2,3,Hyderabad,3,13,Fixed price,Low,529
219,Industrial,34234,39135828,45,8,26,99,3,Moderate,Yes,1,8,Banglore,6,11,Fixed price,High,502
220,Industrial,34440,9411121,31,5,13,74,2,Adverse,Yes,1,7,Chennai,8,13,Time and materials,High,707
221,Educational,23302,42047219,69,6,32,68,5,Moderate,Yes,3,0,Banglore,7,16,Fixed price,Medium,421
222,Commercial,49094,77077701,89,2,7,41,2,Favorable,No,4,0,Chennai,5,15,Time and materials,Low,891
223,Residential,20307,79274130,84,9,40,47,2,Favorable,Yes,4,9,Mumbai,1,9,Fixed price,Low,814
224,Industrial,29707,27504042,74,4,19,90,3,Adverse,No,1,0,Banglore,4,15,Fixed price,Low,205
225,Residential,42773,21841865,11,10,47,0,1,Moderate,No,4,3,Mumbai,6,8,Time and materials,Medium,797
226,Industrial,27709,33669199,64,8,9,52,2,Moderate,No,5,5,Mumbai,7,3,Time and materials,High,514
227,Infrastructure,35215,41054456,28,4,37,35,1,Adverse,Yes,4,9,Hyderabad,9,3,Time and materials,High,147
228,Educational,26961,58830898,45,10,20,95,0,Moderate,No,1,1,Pune,5,18,Time and materials,Low,139
229,Residential,5391,63489273,78,2,19,29,2,Moderate,No,5,10,Chennai,10,1,Time and materials,Low,187
230,Educational,5273,5945622,13,7,40,22,5,Moderate,No,4,3,Banglore,4,14,Time and materials,Medium,617
231,Industrial,35784,7472158,81,3,10,43,5,Adverse,Yes,1,5,Kolkata,5,13,Fixed price,Low,869
232,Residential,16988,27144901,17,4,40,99,4,Favorable,Yes,2,9,Delhi,4,19,Time and materials,High,678
233,Residential,15744,82006573,23,2,16,12,1,Adverse,Yes,4,3,Mumbai,6,10,Time and materials,Medium,583
234,Industrial,18041,25318403,54,4,24,52,1,Moderate,Yes,1,3,Mumbai,9,5,Time and materials,High,994
235,Industrial,28935,52631047,28,7,34,84,5,Favorable,Yes,2,7,Delhi,10,5,Fixed price,High,531
236,Educational,40018,69825576,31,9,35,14,3,Favorable,Yes,5,4,Hyderabad,8,18,Fixed price,High,761
237,Educational,30794,42957812,14,5,42,41,2,Moderate,No,2,2,Kolkata,10,14,Time and materials,Low,927
238,Residential,13114,37348340,71,6,39,38,1,Adverse,No,2,2,Chennai,3,13,Time and materials,High,513
239,Infrastructure,48852,28598397,69,1,42,38,4,Adverse,Yes,5,1,Chennai,3,9,Time and materials,Medium,959
240,Infrastructure,6162,8942088,68,10,42,57,5,Adverse,No,1,7,Kolkata,6,3,Fixed price,Low,380
241,Residential,22309,60004601,43,1,48,81,0,Moderate,No,2,6,Delhi,10,4,Time and materials,Medium,426
242,Commercial,12287,68401545,58,3,31,95,2,Adverse,No,3,0,Banglore,3,20,Time and materials,High,181
